tweets,followers,AverageTweets,WordCount,AvgWordLength,NumbersCount,PunctuationCount,NounCount,VerbCount,MisspellCount,SentimentScore,category_News & Politics,category_family,category_entertainment,category_technology,category_Finance & Education,category_Health,category_Sports & Fitness,category_fashion,category_gaming,category_food,category_Lifestyle,topics_LIVE,topics_#OneFamily,topics_#SavIND,topics_SOLD,topics_invasion,topics_#TATIPLAuction,topics_UNSOLD,topics_#NCT
"First flight is to 15km or ~50,000 ft",78303839,8.841121495,8,3.75,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rocket has left a hole in the ground that is 1/4 mile deep,78303839,8.841121495,13,3.538461538,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Um, while awesome in its own way, that was not actually the SpaceX theme song. It seems that irony is sometimes lost in a tweet.",78303839,8.841121495,25,4.16,0,4,5,2,1,0.3818,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moon too,78303839,8.841121495,2,3.5,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nuke Mars!,78303839,8.841121495,2,4.5,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Model Y production for east coast too,78303839,8.841121495,7,4.428571429,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Back to the drawing board,78303839,8.841121495,5,4.2,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Might make sense to have thousands of solar reflector satellites 🛰 to warm Mars vs artificial suns (tbd),78303839,8.841121495,18,4.833333333,0,2,6,3,0,0.2263,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The rumor that I'm building a spaceship to get back to my home planet Mars is totally untrue,78303839,8.841121495,18,4.166666667,0,0,4,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Please trash me on Wikipedia, I’m begging you",78303839,8.841121495,8,4.75,0,1,0,2,0,0.3182,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falcon flies for the 9th time tonight,78303839,8.841121495,7,4.428571429,0,0,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tesla P85D 0 to 60mph acceleration will improve by ~0.1 sec soon via over-the-air software update to inverter algorithm,78303839,8.841121495,19,5.315789474,1,0,6,1,0,0.4404,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
This article does not appreciate that Tesla is in California despite taxes net of rebates being higher. Incentives only a partial offset.,78303839,8.841121495,22,5.272727273,0,2,5,1,1,0.0108,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I’m getting a Shiba Inu #resistanceisfutile,78303839,8.841121495,6,6.333333333,0,1,2,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Promising early results from the Ludricrous Easter egg. Looks like 0 to 60 mph in 2.34 sec (Motor Trend spec) might be achievable...,78303839,8.841121495,23,4.782608696,2,3,4,2,1,0.6369,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
“What is love? Baby don’t hurt me.”— Winston Churchill,78303839,8.841121495,9,5.111111111,0,1,2,1,0,0.2023,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
